,pH,temp,Intercept,Slope,SpecificActivity,lnactivity
ph45_5_3,4.5,5,-0.0804294257647042,123.346640882353,14.9365072943474,2.70380837020117
ph45_5_4,4.5,5,0.491984380762225,120.851646069707,14.6343790162535,2.68337348782944
ph45_5_5,4.5,5,-0.078992635861345,108.509776180672,13.1398557093783,2.57565003197473
ph45_5_6,4.5,5,0.75280785367537,124.296971223791,15.051586359131,2.71148339156239
ph35_35_1,3.5,35,4.14046809427366,161.302780957432,19.532758631564,2.97209298588975
ph35_35_2,3.5,35,0.294539494792089,201.824292438316,24.4396604124524,3.19620723946269
ph35_35_3,3.5,35,0.221407720599057,206.948914566038,25.0602201232311,3.22128173327735
ph35_35_4,3.5,35,1.4234337752783,228.208779018868,27.634656834316,3.31907066741605
ph35_35_5,3.5,35,0.116397695484761,222.92408422061,26.9947133235894,3.29564104400243
ph35_35_6,3.5,35,0.22401932042235,236.991521743106,28.6981920860792,3.356834127265
ph35_25_1,3.5,25,0.0563717113323663,133.731173926705,16.194009342687,2.7846413801865
ph35_25_2,3.5,25,0.159251776726271,159.380206874569,19.2999469262174,2.96010234597014
ph35_25_3,3.5,25,0.262866543988099,165.40421135365,20.029416218606,2.99720200390132
ph35_25_4,3.5,25,1.12436925924311,203.883836290276,24.6890583007756,3.20636016171337
ph35_25_5,3.5,25,0.142130637231858,155.080055000726,18.7792254102441,2.93275122746859
ph35_25_6,3.5,25,0.810012980169368,94.112337473971,11.3964158659887,2.43329890824683
ph35_15_1,3.5,15,0.598292557005593,151.428366556719,18.3370287627277,2.90892244512814
ph35_15_2,3.5,15,-0.158775864444139,130.666620746659,15.8229111060408,2.76145895969925
ph35_15_3,3.5,15,-0.0663671304587407,122.06881113101,14.7817700978957,2.69339467140016
ph35_15_4,3.5,15,0.629953248243225,129.654094363975,15.7003004893876,2.75367985162255
ph35_15_5,3.5,15,0.595554897368784,140.394682463149,17.000918579522,2.83326737668595
ph35_15_6,3.5,15,0.371912841670967,120.010314595152,14.5324990330067,2.67638745405331
ph35_5_1,3.5,5,-0.159794445205002,77.2923667755286,9.35962253922417,2.23640496267038
ph35_5_2,3.5,5,0.119201778579558,93.5463260380906,11.327875418675,2.42726653924568
ph35_5_3,3.5,5,-0.267806125527591,83.8130996562661,10.149242536501,2.31739907575735
ph35_5_4,3.5,5,0.149300745649046,83.2874398384476,10.085588417937,2.31110751555807
ph35_5_5,3.5,5,-0.0795759571537391,88.5069115276897,10.7176338178062,2.37189040532818
ph35_5_6,3.5,5,0.327804551808305,97.1986221745421,11.7701456539485,2.46556629621248
