"","enzyme","temp","pH","activity","lnactivity","revK"
"96","Bgase",5,7.5,433.03,6.07080701,0.00359518245550962
"97","Bgase",25,8.5,660.61,6.493163651,0.00335401643468053
"98","Bgase",25,8.5,713.48,6.570154406,0.00335401643468053
"99","Bgase",25,8.5,511.82,6.237973001,0.00335401643468053
"100","Bgase",25,8.5,933.01,6.838415919,0.00335401643468053
"101","Bgase",25,8.5,528.63,6.270288754,0.00335401643468053
"102","Bgase",25,8.5,1015.7,6.923333309,0.00335401643468053
"103","Bgase",20,8.5,348.74,5.854326659,0.00341122292341805
"104","Bgase",20,8.5,373.97,5.92417558,0.00341122292341805
"105","Bgase",20,8.5,442.41,6.092237054,0.00341122292341805
"106","Bgase",20,8.5,566.44,6.339371161,0.00341122292341805
"107","Bgase",15,8.5,365.95,5.902496712,0.00347041471455839
"108","Bgase",15,8.5,355.21,5.872709164,0.00347041471455839
"109","Bgase",15,8.5,489.68,6.193752117,0.00347041471455839
"110","Bgase",15,8.5,560.17,6.328240309,0.00347041471455839
"111","Bgase",10,8.5,305.89,5.72322556,0.00353169698039908
"112","Bgase",10,8.5,594.9,6.388393324,0.00353169698039908
"113","Bgase",10,8.5,528.33,6.269721088,0.00353169698039908
"114","Bgase",10,8.5,464.16,6.14022932,0.00353169698039908
"115","Bgase",10,8.5,384.5,5.951943789,0.00353169698039908
"116","Bgase",5,8.5,450.57,6.110513448,0.00359518245550962
"117","Bgase",5,8.5,442.97,6.093502048,0.00359518245550962
"118","Bgase",5,8.5,399.68,5.990664227,0.00359518245550962
"119","Bgase",5,8.5,177.45,5.178688879,0.00359518245550962
"120","Bgase",5,8.5,385.53,5.954619011,0.00359518245550962
"121","Bgase",5,8.5,278.28,5.628627801,0.00359518245550962
"122","Bgase",5,8.5,186.65,5.229235205,0.00359518245550962
"123","Bgase",5,8.5,433.96,6.072952364,0.00359518245550962
"124","NAGase",25,4.5,319.3125,5.766170247,0.00335401643468053
"125","NAGase",25,4.5,153.6563,5.03471829,0.00335401643468053
"126","NAGase",25,4.5,335.0313,5.81422396,0.00335401643468053
"127","NAGase",20,4.5,269.625,5.597032105,0.00341122292341805
"128","NAGase",20,4.5,166.625,5.115745778,0.00341122292341805
"129","NAGase",20,4.5,138.7188,4.932448862,0.00341122292341805
"130","NAGase",20,4.5,185.4688,5.222886674,0.00341122292341805
"131","NAGase",15,4.5,213.9063,5.365538069,0.00347041471455839
"132","NAGase",15,4.5,178.3438,5.183713148,0.00347041471455839
"133","NAGase",15,4.5,165.25,5.107459479,0.00347041471455839
"134","NAGase",15,4.5,154.6563,5.041205235,0.00347041471455839
"135","NAGase",10,4.5,112.9375,4.726834568,0.00353169698039908
"136","NAGase",10,4.5,160.1563,5.076150213,0.00353169698039908
"137","NAGase",10,4.5,151.8125,5.022646207,0.00353169698039908
"138","NAGase",5,4.5,82.25,4.40976339,0.00359518245550962
"139","NAGase",5,4.5,109.9688,4.700196689,0.00359518245550962
"140","NAGase",5,4.5,128.5938,4.856658599,0.00359518245550962
"141","NAGase",5,4.5,94.1875,4.545287476,0.00359518245550962
"142","NAGase",25,5.5,734.7188,6.599487841,0.00335401643468053
"143","NAGase",25,5.5,613.625,6.419383992,0.00335401643468053
"144","NAGase",25,5.5,748.125,6.617570076,0.00335401643468053
"145","NAGase",20,5.5,644.7188,6.468814253,0.00341122292341805
"146","NAGase",20,5.5,357.5313,5.879222911,0.00341122292341805
"147","NAGase",20,5.5,410.6875,6.017832585,0.00341122292341805
"148","NAGase",20,5.5,498.7813,6.212167723,0.00341122292341805
"149","NAGase",15,5.5,350.5,5.859360706,0.00347041471455839
"150","NAGase",15,5.5,346.3438,5.847431923,0.00347041471455839
"151","NAGase",15,5.5,355.9063,5.874667494,0.00347041471455839
"152","NAGase",15,5.5,258.7188,5.555741758,0.00347041471455839
"153","NAGase",10,5.5,245.7813,5.504442116,0.00353169698039908
"154","NAGase",10,5.5,293.2813,5.681132217,0.00353169698039908
"155","NAGase",10,5.5,277.4063,5.625483219,0.00353169698039908
"156","NAGase",5,5.5,183.4688,5.212044626,0.00359518245550962
"157","NAGase",5,5.5,207.4375,5.334830089,0.00359518245550962
"158","NAGase",5,5.5,251.1563,5.526075454,0.00359518245550962
"159","NAGase",5,5.5,212.3438,5.358206659,0.00359518245550962
"160","NAGase",25,6.5,441.625,6.090461106,0.00335401643468053
"161","NAGase",25,6.5,382.0313,5.945502542,0.00335401643468053
"162","NAGase",25,6.5,493.25,6.201016145,0.00335401643468053
"163","NAGase",20,6.5,448.125,6.105072211,0.00341122292341805
"164","NAGase",20,6.5,195.25,5.274280789,0.00341122292341805
"165","NAGase",20,6.5,281.8125,5.641241956,0.00341122292341805
"166","NAGase",20,6.5,297,5.693732139,0.00341122292341805
"167","NAGase",15,6.5,346.5938,5.848153489,0.00347041471455839
"168","NAGase",15,6.5,249.5,5.519458915,0.00347041471455839
"169","NAGase",15,6.5,256.6875,5.547859392,0.00347041471455839
"170","NAGase",15,6.5,146,4.983606622,0.00347041471455839
"171","NAGase",10,6.5,174.3438,5.161029212,0.00353169698039908
"172","NAGase",10,6.5,191.6563,5.255703664,0.00353169698039908
"173","NAGase",10,6.5,191.625,5.255540337,0.00353169698039908
"174","NAGase",5,6.5,119.7813,4.78566758,0.00359518245550962
"175","NAGase",5,6.5,146.3438,4.985958648,0.00359518245550962
"176","NAGase",5,6.5,157.4375,5.059028554,0.00359518245550962
"177","NAGase",5,6.5,145.4063,4.979531893,0.00359518245550962
"178","NAGase",25,7.5,177.375,5.178266135,0.00335401643468053
"179","NAGase",25,7.5,218.6563,5.387501091,0.00335401643468053
"180","NAGase",25,7.5,239.6563,5.479205814,0.00335401643468053
"181","NAGase",20,7.5,145.4063,4.979531893,0.00341122292341805
"182","NAGase",20,7.5,157.8125,5.061407619,0.00341122292341805
"183","NAGase",20,7.5,118.8125,4.77754662,0.00341122292341805
"184","NAGase",20,7.5,148.25,4.998900038,0.00341122292341805
"185","NAGase",15,7.5,124.625,4.825309228,0.00347041471455839
"186","NAGase",15,7.5,104.9063,4.653067571,0.00347041471455839
"187","NAGase",15,7.5,95.1563,4.555520803,0.00347041471455839
"188","NAGase",10,7.5,65.875,4.187759007,0.00353169698039908
"189","NAGase",10,7.5,92.5625,4.527884092,0.00353169698039908
"190","NAGase",10,7.5,91.8438,4.520089308,0.00353169698039908
"191","NAGase",5,7.5,45.375,3.814961293,0.00359518245550962
"192","NAGase",5,7.5,56.375,4.032025798,0.00359518245550962
"193","NAGase",5,7.5,54.2813,3.994179785,0.00359518245550962
"194","NAGase",5,7.5,58.9375,4.07647756,0.00359518245550962
"195","NAGase",25,8.5,98.0938,4.585924164,0.00335401643468053
"196","NAGase",25,8.5,117.8125,4.769094378,0.00335401643468053
"197","NAGase",25,8.5,157.5938,5.060020837,0.00335401643468053
"198","NAGase",20,8.5,86.5938,4.461228219,0.00341122292341805
"199","NAGase",20,8.5,106.4375,4.667557958,0.00341122292341805
"200","NAGase",20,8.5,79.1875,4.371818458,0.00341122292341805
"201","NAGase",20,8.5,114.1875,4.737841834,0.00341122292341805
"202","NAGase",15,8.5,66.0625,4.190601264,0.00347041471455839
"203","NAGase",15,8.5,71.8438,4.274494318,0.00347041471455839
"204","NAGase",15,8.5,56.8125,4.039756372,0.00347041471455839
"205","NAGase",15,8.5,90.1875,4.501890837,0.00347041471455839
"206","NAGase",10,8.5,47.9688,3.8705508,0.00353169698039908
"207","NAGase",10,8.5,84,4.430816799,0.00353169698039908
"208","NAGase",10,8.5,77.1563,4.345833235,0.00353169698039908
"209","NAGase",5,8.5,26.8438,3.290034882,0.00359518245550962
"210","NAGase",5,8.5,59.75,4.090169191,0.00359518245550962
"211","NAGase",5,8.5,43.125,3.764102875,0.00359518245550962
"212","NAGase",5,8.5,53.375,3.977342472,0.00359518245550962
"ph75_35_1","APase",35,7.5,7.53698907733557,2.01982277565444,0.00324517280545189
"ph75_35_2","APase",35,7.5,2.45581726122971,0.898459602479942,0.00324517280545189
