Time,35_1,35_2,35_3,35_4,35_5,35_6,25_1,25_2,25_3,25_4,25_5,25_6,15_1,15_2,15_3,15_4,15_5,15_6,5_1,5_2,5_3,5_4,5_5,5_6
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,1.263930348,2.847222222,1.51822591,3.206947677,1.230981595,1.453032129,2.047961631,1.567283951,1.501688152,2.446574494,2.976581695,2.865155678,1.449138871,3.540117417,2.70045819,3.171807359,2.989427346,1.420681987,1.312698413,2.251339136,1.019868035,1.567633866,1.023578363,2.021260997
0.033,2.352900268,3.774788795,2.927475556,4.37411843,2.622977755,2.975998807,3.921948357,3.222483091,2.992969915,3.611966316,4.211313236,4.240558511,2.952803918,5.495086361,5.020292689,4.507643347,4.859111722,2.763049451,2.335071813,3.602511682,2.098116505,2.534847199,2.328245828,3.00834821
0.050,3.344765893,4.757383041,4.131772053,5.575946468,3.897473943,4.278615452,5.741146319,4.645056936,4.220619587,4.516180679,5.335473598,5.444858871,4.053602472,6.002318841,7.321003401,5.844440213,5.813718141,4.112897789,3.573419166,4.703048509,3.18024055,4.27898163,3.522222222,4.036454398
0.067,4.217741935,5.409064108,5.184579439,6.505450862,4.813303319,5.258611263,7.003242817,5.769548647,5.160883691,5.482549858,6.264426657,6.477892287,4.778813807,7.71630094,8.966902145,7.53192438,6.3201373,5.117951318,4.301593521,5.554785178,4.202780647,4.735047299,4.713167836,4.888135228
0.083,4.967117206,6.121339286,6.032998538,7.400139976,5.692291105,6.087809461,7.989764493,6.679761905,6.012829116,6.273847282,7.037177927,7.316252588,6.29169293,7.850232387,10.99882271,8.861498258,8.201025892,6.690656566,5.523821613,7.714285714,5.395833333,5.523603462,5.326475352,6.568518519
0.100,5.624353076,6.756313933,6.737932118,8.144614435,6.3815625,6.938717532,9.059255281,7.460292182,6.858810069,6.922482459,7.650232919,8.020061728,6.863405948,9.370262201,12.09582679,9.711165049,9.205305405,7.309303188,5.619059488,8.611937591,5.954422627,6.292703114,6.532082121,7.153167186
0.117,6.188545689,7.252690923,7.354176132,8.738235294,7.014914773,7.623972779,10.00027464,8.355201863,7.539882314,7.548398091,8.249689441,8.896691447,7.25,9.394557823,13.48272727,10.6171024,9.824508212,7.927283654,6.368551329,8.62721519,6.700637523,7.463636364,7.534367701,7.718881857
0.133,6.634168094,7.841918327,8.087308719,9.33658197,7.610178319,8.354964115,10.47915683,9.001940994,8.181519961,8.188906142,8.779825544,9.299970266,7.766073276,10.68976169,13.53116838,11.38731671,9.689463602,8.457419776,6.711819177,9.782271557,7.10603839,7.885218552,8.38406214,8.54451567
0.150,7.189306978,8.197028515,8.603616151,9.89200228,8.282902741,8.903857656,11.20307346,9.482079007,8.749843591,8.664830494,9.282658811,9.914840738,8.411857708,10.23456113,15.00372024,13.33907887,11.35016611,9.830197133,7.359778286,10.74199355,8.092697674,8.803084936,7.922418391,9.231708716
0.167,7.633724514,8.652057502,9.110852045,10.12366244,8.639365352,9.337653706,11.75397301,10.04143084,9.213688301,9.101844054,9.452185792,10.37850586,9.132401316,11.55697865,16.11045322,13.14288308,11.85736434,10.08940787,7.544922913,11.75062563,8.576534502,8.611795293,9.092428967,9.659833716
0.183,8.130794073,9.134060963,9.519695109,10.69031085,9.018465909,9.522582513,12.44793308,10.6366018,9.624361242,9.439797475,10.04524457,10.78388111,9.396527697,11.43890191,16.48497344,13.30345679,11.98762141,10.33642657,7.895319532,10.84385583,9.268333333,9.626296608,10.19098447,10.20410108
0.200,8.417825112,9.46587789,9.991322677,11.01453267,9.715750586,10.39680791,12.89521878,11.00964802,9.856622549,9.8468316,10.29192547,11.06223118,9.58259587,12.25880282,15.76041667,14.4218282,12.26005747,10.7978414,8.006832298,11.0041796,9.39214872,10.29132017,10.88574074,10.58068169
0.217,8.840431495,9.880957602,10.56831169,10.90700242,10.00671636,10.84533595,12.93115421,10.86406764,10.29944095,10.09438582,10.92115385,11.15193071,9.771829384,11.95949074,18.7109077,15.33987013,14.12345679,11.72038981,8.515502866,13.01564064,9.792877183,10.66065705,9.681139322,11.24840321
0.233,9.210668927,10.19005848,10.61499504,11.70744681,10.20859258,10.89101858,13.5063962,11.48164823,10.52638062,10.39068212,11.03336544,11.71672753,10.82901235,13.13693374,18.32755102,15.62534128,14.3983297,11.94104069,8.7317916,13.33505936,10.57520245,10.76185695,10.89279702,11.73828741
