Time,35_1,35_2,35_3,35_4,35_5,35_6,25_1,25_2,25_3,25_4,25_5,25_6,15_1,15_2,15_3,15_4,15_5,15_6,5_1,5_2,5_3,5_4,5_5,5_6
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,4.923913043,11.48119048,4.76533189,8.919892473,8.130749064,3.590397324,8.100367647,4.667279412,4.514003044,7.127191413,4.822028986,7.003053931,4.591578483,5.106972789,4.405102748,4.92134335,4.888949079,5.849487179,3.049342105,1.709053417,3.984237939,2.195770967,3.588709677,2.538412564
0.033,8.558183596,12.86170848,8.770754717,11.22359005,11.88709677,6.677421748,10.97969771,8.034902597,8.127804487,10.41149711,8.396296296,8.670060332,7.982764748,10.95573095,7.932555781,7.443766347,8.134883508,8.768324895,4.855263158,4.168831169,6.973014392,5.702680998,6.468216775,5.16251165
0.050,10.77309524,14.05786196,10.40016079,13.03746286,13.60271624,8.637157195,12.94858985,11.57474392,10.6631999,12.63304384,10.87685815,10.17142266,11.10390625,13.39509804,11.67906746,9.622528249,10.52450271,10.83405707,7.591803279,6.341052403,10.3775264,8.627996575,8.612143023,7.482142857
0.067,12.55602241,15.19142166,12.14905395,13.89132184,15.17711526,10.21554181,14.85779449,13.17846271,12.55675325,14.11381307,12.23021498,11.73600324,12.13846154,16.63812057,11.99120931,11.4243295,12.37767072,13.34739795,9.323298719,7.389359595,10.4530303,10.40793651,9.987256372,9.859444444
0.083,14.12882592,15.62055386,13.23314255,14.98156669,16.07748067,10.95378213,15.22865479,14.7625,12.90256346,14.88173844,13.31092688,12.24381459,14.9875,19.74864341,15.43720657,12.89196429,13.10958059,14.10202703,10.16302119,10.7325487,13.01063492,10.69076962,11.40924658,11.30006227
0.100,14.3387746,16.45,14.46647253,15.31545015,16.99624209,11.29588068,16.15454259,16.71579643,14.22745253,15.06985294,14.43010167,13.32281553,15.04632179,20.69047619,16.81089744,14.72967172,14.24132144,15.63954023,10.77477011,12.17750583,14.97939394,13.32789757,13.31871494,12.94730392
0.117,15.13113488,16.54938272,14.21489362,15.81117647,17.28371711,11.94982773,16.2262069,16.28307908,15.0168517,15.99242424,14.61422159,13.68206551,16.07708333,21.14426523,18.27559913,15.30454545,14.90456098,16.24641816,13.44375,11.75461712,16.87869327,14.96955128,14.60121212,14.28472222
0.133,15.7291372,16.5593068,16.26677489,16.20153061,17.42850844,12.2427662,16.53098485,17.54707792,15.44690061,16.02847177,15.54210859,14.02040039,17.12089014,22.40172543,15.55144928,16.30756844,15.55545113,17.88232323,14.32251448,13.69732232,16.15125,15.65654649,14.95168232,15.54924658
0.150,15.8555968,16.88351254,15.93556891,15.54545455,17.63541667,12.82380952,17.71318822,17.21684309,15.73999611,16.47727273,15.22873673,14.47489213,17.74806034,24.39142408,19.11122618,17.66542392,17.04094211,18.32257257,14.17272727,14.76377855,18.43528428,15.58823529,16.34998657,14.88526026
0.167,16.04803922,16.93157342,15.55740741,16.96604938,17.98815789,12.61574074,17.59753788,17.74431818,15.7625943,16.56136364,15.56365854,14.51465201,17.1487946,23.04175627,19.40770308,17.67110604,17.79583333,18.81183409,14.69722222,14.35931174,18.16939394,16.875,17.53279842,16.48979592
0.183,16.80009565,17.21286962,15.83130462,16.77038679,18.03700658,13.32466482,17.21062442,17.97537879,15.900155,16.86880342,16.28936709,14.48741558,18.55527998,23.9005814,20.27013761,18.4781961,17.60961538,18.92363636,16.39004914,14.44369369,19.76704545,18.08468893,17.31156156,17.00898247
0.200,16.46323529,17.2162234,15.52308206,16.54703663,18.58147773,13.27567918,17.46949299,18.14481898,15.20481928,16.91897993,15.56987952,15.08609687,17.72871486,23.34873323,18.53423318,18.42890347,17.91798246,18.84890594,16.56637609,16.07802198,19.83291118,18.81684397,17.35883238,17.33521354
0.217,16.29313725,16.79884536,15.54549055,16.11134454,18.32058628,13.19244792,17.24391892,18.5037612,16.2747669,16.6627141,15.79817073,14.6667634,18.2349864,25.0952381,20.89213855,18.91813187,21.19264069,20.12946912,16.11732187,16.67263986,20.628331,18.08700117,19.08365949,17.52843137
0.233,16.49892857,16.56536785,15.54585415,16.25797742,18.29773768,13.45087841,18.52870054,19.10194335,16.10636786,17.21417886,15.7995122,15.3791521,19.58636364,26.87620968,20.97914166,19.55106549,19.40215924,19.40509259,16.63621091,16.57236685,20.99880915,19.47621158,18.32352941,18.3125
0.250,16.50892857,17.39563624,16.25060635,15.845,18.78397376,13.58447198,17.70001615,17.8321819,16.33333333,16.14907886,16.19093441,15.41893756,19.11948854,25.11729118,20.83117117,20.60469963,18.72077358,19.37745953,17.73316953,15.66144814,21.99529526,20.06733092,19.68078431,19.65416667
0.267,17.06603716,16.91537236,16.0223064,16.36066265,18.76636905,13.67358164,18.18825944,18.6600939,16.57606679,16.91421405,15.97368904,15.0730473,18.79741379,24.32932598,18.95714286,20.37388889,18.74330955,20.7273704,18.73986486,16.58417486,20.57220161,19.27149548,18.97700911,19.5796374
0.283,16.79621951,16.87216249,15.98642677,16.09920635,18.72644377,13.29461091,17.6661985,18.91380417,16.15874451,16.60144928,16.15473391,15.07061966,19.84253648,26.71666667,21.18877551,20.07535014,19.53846154,19.09722222,18.21833333,18.05833333,21.22506649,18.55816327,20.08480419,19.45520833
0.300,16.36519608,17.04877717,16.15676884,16.64421998,19.4416594,13.77563492,17.60416667,18.89951846,17.23015203,16.58558109,15.91414141,15.22246635,19.32975958,26.28952902,20.74142857,20.00257313,20.86946387,20.1637374,17.64299901,17.80430354,21.71563011,19.32020696,19.84693878,19.20139901
0.317,16.70200435,16.99419643,15.75031211,16.40795147,19.68332848,13.7475,17.78442419,17.63777778,16.55807337,17.07700893,16.97986842,15.39455214,20.76778846,25.78441505,21.8341557,21.49257991,19.87348178,20.84193888,18.76462963,17.06603774,22.54563492,19.8216696,19.9847973,20.74116162
0.333,16.2427381,16.96555851,16.03695349,16.15413168,18.3708502,13.73467054,18.03887521,18.32884675,16.33653846,16.5293667,15.66394973,15.38162879,19.98041126,22.82857406,18.63748353,20.23651961,19.37455791,20.98032501,18.96561569,17.40072765,22.10418777,20.52144818,19.61456583,21.05039124
0.350,15.9638872,16.70708881,16.19278418,15.90264482,19.58410664,13.40458546,17.43249354,18.80461477,16.74067982,16.7985786,16.035625,15.71002187,18.8456585,28.26447368,21.62654049,21.59955357,20.2398539,20.54895246,18.15618908,18.49473684,22.80512821,19.90770153,20.64602868,19.462818
0.367,16.95727104,17.07426609,16.32575591,15.84141156,19.28486199,13.49163873,18.4567577,19.05197401,16.7308114,16.78021978,16.20188582,14.98259076,20.49537037,26.31727642,21.6470804,20.54801236,20.03706897,21.37609589,18.52974359,17.01190476,23.00050505,20.09375,20.75520833,19.51595745
0.383,17.09689873,16.80366848,16.09857051,15.9973494,19.23019203,13.87573469,18.43638851,19.00823452,16.93979167,16.70894555,15.74089983,15.82224811,20.01681903,25.73192127,22.25651137,20.64888889,20.75901559,20.87136175,20.30667472,17.06138537,23.46161616,20.50321494,21.10378378,20.72442922
