enzyme,temp,pH,activity,lnactivity
NAGase,15,5.5,355.9063,5.874667494
NAGase,15,5.5,258.7188,5.555741758
NAGase,10,5.5,245.7813,5.504442116
NAGase,10,5.5,293.2813,5.681132217
NAGase,10,5.5,277.4063,5.625483219
NAGase,5,5.5,183.4688,5.212044626
NAGase,5,5.5,207.4375,5.334830089
NAGase,5,5.5,251.1563,5.526075454
NAGase,5,5.5,212.3438,5.358206659
NAGase,25,6.5,441.625,6.090461106
NAGase,25,6.5,382.0313,5.945502542
NAGase,25,6.5,493.25,6.201016145
NAGase,20,6.5,448.125,6.105072211
NAGase,20,6.5,195.25,5.274280789
NAGase,20,6.5,281.8125,5.641241956
NAGase,20,6.5,297,5.693732139
NAGase,15,6.5,346.5938,5.848153489
NAGase,15,6.5,249.5,5.519458915
NAGase,15,6.5,256.6875,5.547859392
NAGase,15,6.5,146,4.983606622
NAGase,10,6.5,174.3438,5.161029212
NAGase,10,6.5,191.6563,5.255703664
NAGase,10,6.5,191.625,5.255540337
NAGase,5,6.5,119.7813,4.78566758
NAGase,5,6.5,146.3438,4.985958648
NAGase,5,6.5,157.4375,5.059028554
NAGase,5,6.5,145.4063,4.979531893
NAGase,25,7.5,177.375,5.178266135
NAGase,25,7.5,218.6563,5.387501091
NAGase,25,7.5,239.6563,5.479205814
NAGase,20,7.5,145.4063,4.979531893
NAGase,20,7.5,157.8125,5.061407619
NAGase,20,7.5,118.8125,4.77754662
NAGase,20,7.5,148.25,4.998900038
NAGase,15,7.5,124.625,4.825309228
NAGase,15,7.5,104.9063,4.653067571
NAGase,15,7.5,95.1563,4.555520803
NAGase,10,7.5,65.875,4.187759007
NAGase,10,7.5,92.5625,4.527884092
NAGase,10,7.5,91.8438,4.520089308
NAGase,5,7.5,45.375,3.814961293
NAGase,5,7.5,56.375,4.032025798
NAGase,5,7.5,54.2813,3.994179785
NAGase,5,7.5,58.9375,4.07647756
NAGase,25,8.5,98.0938,4.585924164
NAGase,25,8.5,117.8125,4.769094378
NAGase,25,8.5,157.5938,5.060020837
NAGase,20,8.5,86.5938,4.461228219
NAGase,20,8.5,106.4375,4.667557958
NAGase,20,8.5,79.1875,4.371818458
NAGase,20,8.5,114.1875,4.737841834
NAGase,15,8.5,66.0625,4.190601264
NAGase,15,8.5,71.8438,4.274494318
NAGase,15,8.5,56.8125,4.039756372
NAGase,15,8.5,90.1875,4.501890837
NAGase,10,8.5,47.9688,3.8705508
NAGase,10,8.5,84,4.430816799
NAGase,10,8.5,77.1563,4.345833235
NAGase,5,8.5,26.8438,3.290034882
NAGase,5,8.5,59.75,4.090169191
NAGase,5,8.5,43.125,3.764102875
NAGase,5,8.5,53.375,3.977342472
