Time,35_1,35_2,35_3,35_4,35_5,35_6,25_1,25_2,25_3,25_4,25_5,25_6,15_1,15_2,15_3,15_4,15_5,15_6,5_1,5_2,5_3,5_4,5_5,5_6
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,9.575704225,4.052808544,3.927884615,7.184210526,3.946505376,4.320143081,2.341062654,2.754784689,3.137896825,6.01913818,2.925084175,3.107892882,3.729,1.664,1.690,3.077,3.355,1.833,1.016614976,1.717213115,0.891721491,1.596153846,1.038326586,2.194940476
0.033,11.92850079,7.185771979,7.336309524,9.489098837,7.736818508,8.573041045,4.613440041,5.560282939,6.020138889,8.386060606,5.393241627,4.442452537,6.041,4.211,4.044,5.787,5.606,4.524,2.168955399,3.145098039,2.571969697,3.018050847,3.031215162,3.570112179
0.050,13.75865385,10.1220067,10.3163282,11.84130364,11.07467532,11.70204533,6.644101543,8.384337861,8.785452962,10.48066188,7.758202247,5.601715686,8.000,6.468,6.399,7.124,7.888,7.153,3.882675439,5.174540209,3.827198212,4.37698939,4.544817927,5.55885506
0.067,14.41102941,12.04545455,12.13794192,13.37282025,13.08442726,13.77049936,8.362559839,11.16351321,10.99334734,12.26410256,9.730529475,6.614764154,10.510,9.043,8.080,8.814,9.812,8.863,5.090460948,6.384672619,5.363561848,5.77622807,6.028301887,7.27100271
0.083,15.49461553,13.01312519,13.30310187,14.20210728,14.14754671,15.5674264,9.938959937,12.93764368,12.81746881,13.72577136,10.91448949,7.324054622,12.394,10.328,9.906,11.066,12.011,11.422,6.199454592,7.680268199,6.36767024,7.038406058,7.006610577,7.768498943
0.100,15.76520516,14.2319205,14.2001868,15.51761619,15.84127419,16.7299865,10.73688272,13.63978142,12.56729658,14.01149657,11.9506529,7.818518519,13.409,12.288,11.405,12.770,12.925,10.812,7.575605901,9.31302682,8.437820513,8.389880952,9.602753623,9.637962963
0.117,15.40154216,14.363593,15.41736453,14.84044285,15.99709513,16.77342873,11.84144251,14.70382514,14.03358909,14.8765949,13.05808081,8.116562199,15.392,13.899,12.840,14.872,14.552,13.666,9.227124183,10.9375963,9.12568306,9.945222098,11.23956177,11.75183824
0.133,16.04039184,15.28314716,15.17410003,15.74991811,16.89437984,17.10058923,12.66445282,14.76841518,13.96955749,15.37864404,13.29555242,8.573388078,16.213,14.733,14.262,15.462,16.135,14.176,9.914215686,12.18121797,10.35117326,10.78500967,12.53541374,13.5162037
0.150,16.83945221,15.6797619,16.07247899,15.88405736,16.63594082,17.25852273,12.55973121,16.06287748,14.37389905,15.94487179,13.39968953,8.803588808,17.284,15.288,14.995,16.128,17.516,17.582,10.31006628,12.20972887,10.83765473,12.32738095,11.3571644,12.35347222
0.167,13.54924953,15.75431894,16.22483389,15.98810102,17.27993348,17.894049,12.7945149,16.81055195,15.43874026,15.51772247,14.85974026,9.008796296,18.332,16.397,16.039,16.305,17.546,17.112,11.55683099,13.74739374,12.37868481,13.47272727,14.46024845,13.90536437
0.183,17.40384615,15.80567227,16.50594366,16.47067349,17.3262987,17.36079545,13.57595663,17.12083333,16.08008658,16.15205628,13.96471292,9.141435185,17.307,17.450,16.770,18.532,17.727,17.447,12.83917792,15.27302888,12.73762128,14.00233918,15.9166061,15.19828431
0.200,16.59386509,16.02406832,16.07493786,15.80846253,16.85329986,17.09397457,13.61715668,17.62581921,15.0604955,16.25757576,14.48035104,9.24129902,17.858,17.307,16.883,17.895,18.445,19.518,13.05683099,15.92888471,13.7600368,14.31156126,16.90697674,16.87579853
0.217,17.09358974,15.5399061,16.99442493,16.24047619,17.60132953,17.59086538,14.30288462,17.79350282,15.79026611,15.58530545,15.01295256,9.634682192,18.905,17.932,17.767,18.470,19.304,20.548,13.23945205,15.79926561,14.48948107,15.87581301,14.9281057,15.77805362
0.233,16.7380303,15.47990381,15.96661,16.43626681,17.80573552,17.54278846,14.40804256,17.59234234,15.17669269,16.11337543,14.88963263,9.422938064,19.342,19.517,18.598,18.431,19.335,20.497,14.56558099,16.70132046,15.85851746,16.07873377,16.87238562,15.18664216
0.250,16.96538462,15.43779343,16.84577114,16.86229566,17.20186622,17.77170688,14.50360577,17.96152988,15.86155063,17.13888889,14.76627764,9.214888671,19.565,19.283,18.261,19.997,20.032,18.968,15.09325397,17.50736434,15.44007092,17.45864662,17.66568915,18.03450591
0.267,16.42728664,16.05409664,16.55536853,16.0894958,17.66208584,17.93520193,13.51934524,17.70583333,16.10289179,16.60131579,15.38388284,9.622974869,19.322,19.220,19.337,19.919,19.786,19.353,15.36091393,19.40689655,16.13686817,17.36175711,18.79782446,18.85552826
0.283,16.61085539,16.01389885,16.48264364,17.28953488,17.29990842,17.31394231,15.1166323,18.00446633,15.84815734,16.87129667,15.19994538,9.498562583,18.749,20.223,19.715,20.231,21.806,22.174,16.07519674,18.13155302,16.43857833,17.04231975,17.59458042,19.51168831
0.300,17.06682292,15.73100035,16.90724101,16.95682731,17.47458584,17.52181784,14.7309833,18.57269887,15.81272147,15.65884821,14.78475458,9.568017961,20.648,20.185,19.920,19.333,20.624,20.444,15.98632062,19.62567177,17.97537879,18.4964701,18.68031682,19.08791209
0.317,17.24655388,15.64880952,16.09654731,16.41404062,17.13653846,17.47135417,15.31785818,19.29415584,15.14398439,16.80198317,14.76059582,9.491087344,20.338,19.598,19.279,20.422,20.608,23.571,17.42795031,19.79495074,16.49547473,19.55531359,19.7797619,18.89969834
0.333,16.92212865,15.82507973,17.26804315,16.85231836,16.79335017,18.24877049,15.09604167,18.57675439,15.10709378,16.80557292,14.94803968,9.551961707,20.450,20.256,20.764,20.957,19.928,22.146,17.30612088,20.57169891,17.16163793,19.58195971,20.86827333,20.21527778
0.350,17.43848222,15.75882353,16.69416221,16.06398021,17.20114834,17.61022928,15.25731402,18.90335425,15.96194951,16.75966283,15.13856589,9.721786834,20.563,19.924,19.865,21.749,21.688,25.000,17.3240368,20.19437603,18.37276867,18.98484219,18.78857512,20.09027778
0.367,17.08921037,15.93461265,16.36371713,16.23823529,17.69334677,17.03665717,14.29022576,18.52754386,15.69327731,16.97844273,14.52181818,9.461996739,20.761,20.919,20.349,21.648,21.513,19.687,17.05479148,21.05859859,19.25736434,19.65106079,20.6554007,19.02910603
0.383,17.89873418,15.85014741,17.10137425,16.66887227,17.31305115,17.7875,14.83355263,17.60166667,16.62385671,16.94757728,15.05615421,9.356529851,19.953,20.531,22.081,21.665,20.707,20.745,17.16648029,22.06430085,18.44675755,20.14880952,20.39761905,20.64469658
0.400,17.28989813,16.02623457,16.74425394,16.3488806,17.53963415,17.44027778,14.22831942,18.48798366,15.86342384,16.41128205,15.46370432,9.5814697,20.909,20.601,20.564,20.756,20.761,22.675,18.60326087,21.74197689,19.32621473,19.78068182,21.43082767,20.60552826
0.417,16.9539072,15.50402661,16.67225275,16.05945122,18.38110067,17.6780397,15.15951519,18.78945463,16.09214129,16.34512821,15.67803598,9.46945358,21.037,20.500,19.518,21.609,20.815,23.215,18.52204106,21.76219512,19.51201565,20.43452381,18.88423295,19.4576713
0.433,17.46967213,16.18705441,16.1633699,16.47510823,17.72718073,17.93411496,14.70789474,17.78645229,16.05561715,16.82638889,16.08573512,9.46172104,20.021,21.276,21.132,20.754,21.000,22.344,17.66530612,21.9075031,17.29928571,20.47393745,20.06448203,18.83565531
0.450,15.87131649,15.64098184,16.33766886,17.49042946,17.65235656,17.55944996,14.30222672,18.72490347,16.27617261,16.79968254,15.35880399,9.526942356,21.259,20.116,20.744,20.977,20.966,21.750,18.08641432,23.34430682,19.31111111,22.06622807,19.79875367,21.02405405
0.467,16.79822955,16.04810009,17.61765294,16.36798541,17.32287213,17.77988172,15.06561166,18.70028958,16.02993348,16.50061678,15.54677207,9.679136924,19.925,20.410,21.071,21.730,20.870,23.892,18.23143116,22.31172443,18.99491585,20.78742072,21.14631336,20.50683695
0.483,16.21396761,15.98864916,16.51682113,16.57354597,17.28693748,16.67548077,14.99427454,17.69485721,15.76726308,16.71176046,15.3112013,9.931156015,20.419,20.553,20.318,21.658,20.774,26.570,17.89058957,21.95487013,19.18193158,23.02584586,19.22159091,21.71363636
0.500,16.70310245,16.19540777,16.71432605,17.32749803,16.92329717,17.42981829,15.17558505,17.96299821,15.73653076,16.15951417,15.49599318,9.717304625,20.536,21.905,21.002,20.784,20.871,21.443,18.82739747,22.00595238,19.59096045,21.86333053,19.32222222,20.19070513
