Time,35_1,35_2,35_3,35_4,35_5,35_6,25_1,25_2,25_3,25_4,25_5,25_6,15_1,15_2,15_3,15_4,15_5,15_6,5_1,5_2,5_3,5_4,5_5,5_6
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017,1.362964622,0.850536068,0.935896948,2.756514488,5.144649621,2.689747018,0.667660788,4.809732384,0.556766752,2.021140804,1.317509613,0.261722689,1.626615313,0.834914681,1.127282595,0.47275931,1.174676503,0.372718837,0.608813647,0.597334564,0.645275196,0.379257368,0.550231481,0.381626647
0.033,2.549461932,1.159767966,1.378232281,5.138279511,7.316556892,4.104682082,1.013978755,6.751472274,0.850174017,3.889300718,2.459699415,0.500084034,1.972624799,1.230622804,1.66422337,1.084210899,2.387482663,0.804059522,0.756907059,1.223804284,0.951448102,0.845571096,0.971537456,0.941952922
0.050,3.538192118,1.446452128,1.783568198,7.045511203,9.550074794,5.384992608,1.355409581,8.260843929,1.12592536,5.436411553,3.346481059,0.752871822,2.922312063,1.679293298,2.307447939,1.620957901,3.278013582,1.155070755,1.121729677,2.043983347,1.391614807,1.294344192,1.482305195,1.386150758
0.067,4.42950237,1.709991847,2.176496164,8.368984311,10.92628722,6.445594819,1.650142511,9.620101483,1.395706459,6.83483356,4.123163208,1.031206815,3.023355485,1.979001874,2.791508808,2.068707836,4.102986915,1.842984005,1.291057797,2.534919495,1.951552096,1.670763621,1.950746812,1.903799408
0.083,5.206954887,1.96635679,2.48983209,9.743932203,12.26900215,7.261423181,1.957316237,10.56477126,1.652780777,7.832824453,4.696244266,1.3080031,4.217339816,2.726780627,3.684724743,2.622410336,5.411854103,1.946296755,1.982853869,3.106372104,2.291820468,2.030292332,2.128205686,2.221961462
0.100,5.751930671,2.222361934,2.828596288,10.93560606,13.24309207,8.068458207,2.230132902,11.71659092,1.886126894,8.705451856,5.168026954,1.591461894,3.820613832,3.032843137,3.98035488,3.036614376,5.909989157,2.394733045,1.869075674,3.602699531,2.553684514,2.574274427,2.60964201,2.832322497
0.117,6.427122642,2.442793981,3.132322317,11.77362465,14.15216037,8.656227966,2.527634226,12.09934647,2.105579817,9.366443578,5.627814537,1.846750863,4.856515383,3.371716277,4.41297611,3.487242702,6.054663127,2.788359788,2.19028397,4.354562415,3.037171557,2.998507529,3.167329545,3.200263246
0.133,6.879584227,2.666499504,3.391717304,12.25119231,14.51365825,9.226580844,2.771965076,12.69651874,2.328549592,9.99224316,5.995535407,2.110926506,4.612495707,3.397045809,4.715629275,3.739285714,6.834433774,3.592379679,2.234785657,4.620812604,3.574290966,3.271310539,3.61175243,3.607535665
0.150,7.311594684,2.898091902,3.675299485,12.97695556,15.15114481,9.894295955,3.022020307,13.08013351,2.53056417,10.52635135,6.209244735,2.396212441,5.514740869,4.234012124,5.603679654,4.187386018,8.179323725,3.389023842,2.895427153,4.97706229,3.660630476,3.336137821,3.475918433,3.684716049
0.167,7.66233472,3.09930214,3.928262148,13.562345,15.56761656,10.16701583,3.250526316,13.49178561,2.744614897,11.0842625,6.539234883,2.6626592,5.142602151,4.465256008,5.666893486,4.53046186,8.351788632,3.979331779,2.718444746,5.251322751,3.877734807,3.814810579,3.872888609,4.145506329
0.183,8.117112798,3.297952962,4.170484117,13.49966278,16.06944444,10.55930277,3.455594223,13.60458051,2.944741003,11.47439253,6.817974221,2.887030812,6.050161496,4.619888301,6.027746578,4.955068361,8.423779762,4.204968944,3.042229013,6.005364122,4.364171955,4.21296129,4.449918819,4.470161476
0.200,8.527855376,3.497674798,4.412000698,13.79133138,16.48406364,11.07839221,3.662790994,14.56601171,3.115665247,11.9137972,6.945378151,3.139133652,5.702031863,4.658912435,6.200838415,5.047403855,8.784474148,5.054728347,2.922053623,6.118836816,4.689032917,4.449012195,4.890197992,4.894082232
0.217,8.792248954,3.674191005,4.60105897,14.50157881,16.42717666,11.47089286,3.892705167,14.97797028,3.278280203,12.01995646,7.131470619,3.369705194,6.726724487,5.489702492,7.044070334,5.39878601,9.536352323,4.687564572,3.648983282,6.229529116,4.738664784,4.380802813,4.604311857,4.784163205
0.233,9.097909667,3.862594278,4.81190868,14.35651521,17.10264489,11.62405427,4.084985974,14.93235294,3.499152104,12.28610451,7.297756577,3.610190897,6.113790211,5.645192982,7.11353184,5.735567376,9.81053394,5.215378422,3.311189863,6.409296222,4.790380744,4.85283209,4.864823378,5.20640341
0.250,9.212135057,4.043452776,5.000433675,14.85833055,17.60266715,12.00496392,4.300350202,15.30242674,3.658942708,12.4221319,7.414708844,3.810844949,7.183283149,5.795343137,6.861421911,5.966031281,9.781954099,5.477280482,3.567505376,7.184836735,5.419295207,5.21816681,5.4933639,5.4453977
0.267,9.624781495,4.174154674,5.182883425,15.3531051,17.40473644,12.29410812,4.469246656,15.18397639,3.815669928,13.52192274,7.523797148,4.048898023,6.623829255,5.734028236,7.303515625,6.025154431,9.927226452,6.43767507,3.497619048,7.2173226,5.761761762,5.447810228,5.840235625,5.90203373
0.283,9.823139998,4.358263546,5.372299118,14.83607705,18.03974576,12.55729258,4.662912918,15.94053966,3.990678539,13.26730546,7.601912621,4.214798138,7.612972678,6.75055814,8.157506153,6.471666584,11.07697507,5.699443787,4.140563241,7.528633491,5.738575606,5.172384306,5.535938148,5.686781076
0.300,10.02651951,4.506720585,5.527887423,14.78394191,17.43566817,12.49887231,4.804922689,16.22720961,4.13154546,13.53639024,7.708665669,4.425870438,6.981496541,6.724763025,7.989256208,6.762522033,11.22012232,6.31281262,3.865799199,7.528846154,5.805306122,5.634310825,5.802911875,6.177927928
0.317,10.19078673,4.667266736,5.761792935,15.18913462,18.04609009,12.94520981,4.940689751,15.88719512,4.251863403,13.7883859,7.746276323,4.612623454,7.948672912,6.736244445,8.168393342,6.958415269,11.04198403,6.550811574,4.045012506,8.154730228,6.229004329,6.022695768,6.250567133,6.350372997
0.333,10.39368737,4.816360134,5.830004386,14.98212957,18.44901876,12.99467171,5.159202279,16.27613377,4.429193479,13.78809926,7.93247949,4.835054216,7.26842751,6.640542835,8.246149656,6.932005272,11.48973803,7.270844366,3.964617463,8.22279631,6.519754483,6.279487609,6.681930415,6.681825397
0.350,10.50887678,4.936889215,5.9798578,15.25431452,18.32035714,12.96535714,5.299400774,16.04173137,4.545896679,13.77861241,7.993853768,4.989504553,8.237957859,7.571471264,9.034046103,7.23172395,12.00640321,6.555955529,4.601248755,8.513575269,6.603448276,6.004050815,6.253912766,6.438970903
0.367,10.77955231,5.091326837,6.137743428,15.51268577,18.17377652,13.46029412,5.459560423,16.43060662,4.694790606,14.19899293,8.029757958,5.209999243,7.502242665,7.507457326,8.863469828,7.495858546,11.89031004,7.225025659,4.299627505,8.292930137,6.545908962,6.341739652,6.483067181,6.920266313
0.383,10.59788776,5.225861553,6.275652824,15.6320013,18.74452517,13.37829657,5.655264176,16.02261905,4.820854227,14.28853556,8.024925293,5.293869588,8.677888856,7.523047089,9.146935096,7.776838671,11.86633709,7.406733474,4.428562086,9.082092673,7.060044893,6.736153961,7.055777656,7.023390074
0.400,11.08676505,5.336292678,6.335571096,16.59376908,18.19677142,13.71011681,5.751023449,16.3852832,4.96834268,14.1276266,8.133105668,5.504177092,7.968189334,7.516053572,8.999525641,7.696962131,12.23366073,8.093681917,4.398099951,9.164243239,7.361926103,6.942898111,7.400323761,7.264909275
0.417,11.07000176,5.471421036,6.49226883,15.58952952,19.15268244,13.780911,5.851773315,16.12713387,5.095446633,14.40649359,8.12090265,5.680800721,8.746279216,8.357195942,9.692498231,7.905016145,12.60098437,7.198220712,5.005861653,9.257366625,7.250561243,6.518334744,6.96141102,7.280385488
0.433,11.08315205,5.541083926,6.598664106,15.44813453,18.35090379,13.82483968,6.086781609,16.47569743,5.189779001,14.69746315,8.211990533,5.823489381,8.092182726,8.397194039,9.665906352,8.203565529,12.74922775,7.794881514,4.731379658,9.127553349,7.275031304,6.91929706,7.188066425,7.434040476
0.450,11.26275262,5.68660044,6.763843171,15.54940865,18.18530018,13.95039683,6.200334821,16.67055389,5.313050855,14.50346164,8.201884624,5.926557605,9.039958712,8.381324051,9.607010729,8.165851955,12.71553406,7.937688665,4.8154102,9.924935233,7.836258449,7.140598532,7.718837019,7.614139506
0.467,11.43791523,5.79076282,6.813193892,15.26619363,18.52874677,13.98616189,6.340591754,16.68268079,5.406661357,14.76175103,8.284693491,6.090698813,8.556436567,8.110337143,9.615425913,8.336247896,12.93051257,8.924923313,4.785054063,9.770737327,8.018099548,7.469393004,7.919141728,7.994164849
0.483,11.50952488,5.946581536,6.906000862,15.63160793,18.7017693,14.01752646,6.434609725,16.54405613,5.57718524,14.55095208,8.228307924,6.362378704,9.424540736,9.092925403,10.31867791,8.607950284,13.14549108,7.940638488,5.291828794,10.11881286,7.921030947,6.99844648,7.681105779,7.720819654
